time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,train/approx_kl,train/explained_variance,train/std,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
4096,297,13,381.00347900390625,1,512.0,0.0,,,,,,,,,,,,,,
8192,291,28,367.6170654296875,2,512.0,0.0,25.119167,0.00645756721496582,0.009998689405620098,0.3955462574958801,0.0004,0.498046875,1.2130969762802124,28.676674842834473,1,0.2,0.0745015381835401,,,
12288,293,41,363.2225036621094,3,512.0,0.0,25.063232,0.4691654443740845,0.009998228400945663,0.3891622722148895,0.0004,0.5,0.3324570953845978,28.677473068237305,2,0.2,0.13993303943425417,,,
16384,295,55,361.6177673339844,4,512.0,0.0,9.640198,0.6116177141666412,0.00999841745942831,0.47425296902656555,0.0004,0.498046875,0.4099477678537369,28.677595138549805,3,0.2,0.15179880056530237,,,
20480,292,69,361.02667236328125,5,512.0,0.0,6.4079504,0.7614565938711166,0.009998632594943047,0.6266518831253052,0.0004,0.498046875,0.5131353139877319,28.677413940429688,4,0.2,0.19175047799944878,,,
24576,294,83,360.0652770996094,6,512.0,0.0,5.6837683,0.8224063217639923,0.009998442605137825,0.569899320602417,0.0004,0.494140625,0.559903085231781,28.677404403686523,5,0.2,0.1465857606381178,,,
28672,296,96,358.424560546875,7,512.0,0.0,5.3147254,0.7324589490890503,0.009997978806495667,0.7714537978172302,0.0004,0.48828125,0.3609464317560196,28.67770004272461,6,0.2,0.32778917998075485,,,
32768,297,110,357.04705810546875,8,512.0,0.0,11.003246,0.8479374349117279,0.009997409768402576,0.4396668076515198,0.0004,0.49609375,0.40863046050071716,28.678165435791016,7,0.2,0.12743727676570415,,,
36864,294,125,356.1242370605469,9,510.68055555555554,0.013888888888888888,8.072757,0.7440201640129089,0.009996895678341389,0.4352629780769348,0.0004,0.494140625,0.39355091750621796,28.678653717041016,8,0.2,0.13222410809248686,,,
40960,291,140,353.7648010253906,10,507.4125,0.025,7.262726,0.8512787520885468,0.009996713139116764,0.611224353313446,0.0004,0.49609375,0.6206138134002686,28.67896842956543,9,0.2,0.15282753575593233,,,
45056,290,155,353.9482727050781,11,507.82954545454544,0.022727272727272728,8.022835,0.7815200388431549,0.009996576234698296,0.43570804595947266,0.0004,0.5,0.4318675547838211,28.67911148071289,10,0.2,0.12723607197403908,,,
49152,289,169,353.2559509277344,12,506.1443298969072,0.030927835051546393,13.784754,0.8982632830739021,0.00999644584953785,0.6101009249687195,0.0004,0.5,0.6546642780303955,28.679231643676758,11,0.2,0.16261021280661225,,,
50000,,,,,,,10.431856,0.820871114730835,0.009996458888053894,0.5421078205108643,0.0004,0.49609375,0.5686075687408447,28.679285049438477,12,0.2,0.1572973052971065,0.0,374.34490966796875,512.0
53248,252,211,351.11468505859375,13,503.44,0.04,,,,,,,,,,,,,,
57344,254,224,352.9744873046875,14,503.44,0.04,5.911311,0.7675343751907349,0.009995999746024609,0.5554952025413513,0.0004,0.498046875,0.42678043246269226,28.679487228393555,13,0.2,0.20623467862606049,,,
61440,257,238,355.6423034667969,15,503.44,0.04,9.8546,0.7925690412521362,0.009995688684284687,0.44019991159439087,0.0004,0.5,0.4361557215452194,28.679834365844727,14,0.2,0.156158241443336,,,
65536,259,252,357.2074890136719,16,503.44,0.04,7.8473577,0.7588418424129486,0.009995496831834316,0.3861314058303833,0.0004,0.5,0.33352531492710114,28.680058479309082,15,0.2,0.15001489128917456,,,
69632,261,266,358.8455505371094,17,503.44,0.04,8.324186,0.779315397143364,0.009995399974286556,0.46160888671875,0.0004,0.5,0.3071667402982712,28.680188179016113,16,0.2,0.18828010093420744,,,
73728,263,280,360.46759033203125,18,503.44,0.04,12.51516,0.6306715309619904,0.009995496831834316,0.3290283977985382,0.0004,0.498046875,0.31487832963466644,28.68018913269043,17,0.2,0.12441068049520254,,,
77824,264,293,362.728515625,19,503.44,0.04,15.952802,0.7525365054607391,0.009995492175221443,0.3197469413280487,0.0004,0.5,0.2237868644297123,28.680147171020508,18,0.2,0.1403687666170299,,,
81920,265,308,365.48895263671875,20,503.44,0.04,8.065428,0.5937272310256958,0.009995588101446629,0.31254076957702637,0.0004,0.5,0.22965465113520622,28.680105209350586,19,0.2,0.12652162043377757,,,
86016,267,322,368.16522216796875,21,504.39,0.03,11.755146,0.9063321053981781,0.009995689615607262,2.3680262565612793,0.0004,0.5,0.2001338228583336,28.680015563964844,20,0.2,1.1394236106425524,,,
90112,267,336,372.2959899902344,22,507.11,0.02,8.720193,0.6975008249282837,0.009995696134865284,0.34966596961021423,0.0004,0.5,0.2083323672413826,28.679966926574707,21,0.2,0.1268995264545083,,,
94208,268,350,372.9690246582031,23,507.11,0.02,7.078245,0.8430414199829102,0.009995464235544205,0.3480801582336426,0.0004,0.498046875,0.16708453744649887,28.68006992340088,22,0.2,0.1280591692775488,,,
98304,269,364,375.0169982910156,24,507.11,0.02,5.506493,0.9335205852985382,0.00999516062438488,0.5333491563796997,0.0004,0.494140625,0.44500115513801575,28.680313110351562,23,0.2,0.11944075673818588,,,
100000,,,,,,,8.546517,0.941619411110878,0.009994898922741413,0.5093976259231567,0.0004,0.498046875,0.3011429011821747,28.680567741394043,24,0.2,0.1678730696439743,0.0,372.10589599609375,512.0
102400,252,405,377.0255432128906,25,509.12,0.01,,,,,,,,,,,,,,
106496,254,419,377.796142578125,26,512.0,0.0,5.8190966,0.9249507933855057,0.009994563646614552,0.3784331679344177,0.0004,0.5,0.23741039633750916,28.68083667755127,25,0.2,0.13524557650089264,,,
110592,255,433,376.8251037597656,27,512.0,0.0,12.010792,0.9494214095175266,0.009994084015488625,0.7543720602989197,0.0004,0.49609375,0.33345914632081985,28.68120574951172,26,0.2,0.3209739699959755,,,
114688,256,447,376.2882385253906,28,512.0,0.0,8.595545,0.9506332948803902,0.009993746876716614,0.5347104668617249,0.0004,0.498046875,0.27164075523614883,28.681574821472168,27,0.2,0.20837695337831974,,,
