time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/iterations,train/clip_range,train/entropy_loss,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
16,588,-184.70358276367188,9728,0.0,512.0,1,,,,,,,,,,,,,,
31,610,-178.26846313476562,19456,0.0,512.0,2,0.1,28.676398277282715,1.9877633,0.009999302215874195,7.610769748687744,-0.02802109718322754,0.1202774066478014,0.486328125,6.061319351196289,0.0002,1,,,
46,625,-175.80715942382812,29184,0.0,512.0,3,0.1,28.676923751831055,1.3231094,0.009998831897974014,1.944449543952942,-0.6059185266494751,0.2122237728908658,0.4873046875,2.0813698768615723,0.0002,2,,,
60,639,-174.21563720703125,38912,0.0,512.0,4,0.1,28.677170753479004,1.1864902,0.009998755529522896,1.9558145999908447,0.008045494556427002,0.2813111327122897,0.482421875,2.234013557434082,0.0002,3,,,
74,649,-173.31883239746094,48640,0.0,512.0,5,0.1,28.677160263061523,0.8556808,0.009998856112360954,2.000250518321991,-0.3773077726364136,0.2304873401299119,0.4814453125,2.1605727672576904,0.0002,4,,,
,,,50000,,,,0.1,28.677034378051758,1.1078825,0.009999033994972706,2.1292601823806763,-0.5496156215667725,0.28851015120744705,0.484375,2.379241704940796,0.0002,5,512.0,0.0,-182.6978302001953
109,532,-172.8246307373047,58368,0.0,512.0,6,,,,,,,,,,,,,,
122,555,-174.0293426513672,68096,0.0,512.0,7,0.1,28.676870346069336,0.80907947,0.009999221190810204,2.3142443895339966,-0.19325649738311768,0.17426719795912504,0.4833984375,2.325756549835205,0.0002,6,,,
136,571,-180.70355224609375,77824,0.0,512.0,8,0.1,28.676761627197266,0.51313436,0.009999276138842106,2.3225022554397583,-0.07913434505462646,0.16746414359658957,0.4794921875,2.290140390396118,0.0002,7,,,
149,587,-184.70547485351562,87552,0.0,512.0,9,0.1,28.676685333251953,0.73083293,0.009999391622841358,2.8384586572647095,0.07917201519012451,0.29286824027076364,0.47265625,2.8915772438049316,0.0002,8,,,
162,599,-187.75726318359375,97280,0.0,512.0,10,0.1,28.67666530609131,0.7261751,0.009999321773648262,2.399349570274353,0.03607642650604248,0.15967559069395065,0.4794921875,2.322445869445801,0.0002,9,,,
,,,100000,,,,0.1,28.6767578125,0.7007534,0.009999183937907219,2.372012972831726,0.32260674238204956,0.16814832482486963,0.4775390625,2.333679676055908,0.0002,10,512.0,0.0,-183.73077392578125
192,557,-191.0008544921875,107008,0.0,512.0,11,,,,,,,,,,,,,,
205,569,-190.5159149169922,116736,0.0,512.0,12,0.1,28.676892280578613,0.7118265,0.009999021887779236,2.26158607006073,0.11483597755432129,0.19314806163311005,0.46484375,2.282552719116211,0.0002,11,,,
218,578,-191.12384033203125,126464,0.0,512.0,13,0.1,28.677005767822266,0.6213139,0.009998934343457222,1.7080500721931458,0.1963735818862915,0.3023530188947916,0.482421875,2.156160831451416,0.0002,12,,,
232,586,-188.28097534179688,136192,0.0,512.0,14,0.1,28.6769962310791,0.9038453,0.009999045170843601,1.7989110946655273,0.4517706632614136,0.24062851211056113,0.484375,2.0951013565063477,0.0002,13,,,
245,593,-188.9104461669922,145920,0.0,512.0,15,0.1,28.676855087280273,0.65568835,0.009999249130487442,1.4204127788543701,0.3601163625717163,0.1284105172380805,0.4736328125,1.5459578037261963,0.0002,14,,,
,,,150000,,,,0.1,28.67668056488037,0.75456876,0.009999430738389492,1.2909829020500183,0.3986172676086426,0.15733736660331488,0.4794921875,1.5316957235336304,0.0002,15,512.0,0.0,-194.8109893798828
276,563,-187.0678253173828,155648,0.0,512.0,16,,,,,,,,,,,,,,
289,571,-191.92715454101562,165376,0.0,512.0,17,0.1,28.67658042907715,0.6576263,0.009999473579227924,1.1898463368415833,0.49102282524108887,0.15242287004366517,0.4716796875,1.4467260837554932,0.0002,16,,,
302,578,-191.91363525390625,175104,0.0,512.0,18,0.1,28.676488876342773,0.5290921,0.009999637492001057,1.2730732560157776,0.28188252449035645,0.1575014847330749,0.47265625,1.5116183757781982,0.0002,17,,,
316,584,-198.49990844726562,184832,0.0,512.0,19,0.1,28.67630958557129,0.47307962,0.00999987032264471,1.1447601318359375,0.4295247197151184,0.23698815051466227,0.4658203125,1.6128864288330078,0.0002,18,,,
329,590,-200.4965057373047,194560,0.0,512.0,20,0.1,28.67610740661621,0.6743753,0.01000008825212717,1.209653079509735,0.47961974143981934,0.543372480198741,0.4775390625,2.2344913482666016,0.0002,19,,,
,,,200000,,,,0.1,28.675884246826172,0.46615618,0.010000367648899555,1.1627404689788818,0.5454244315624237,0.13726644380949438,0.46875,1.4477312564849854,0.0002,20,512.0,0.0,-204.49954223632812
358,569,-204.7642364501953,204288,0.0,512.0,21,,,,,,,,,,,,,,
372,574,-205.03712463378906,214016,0.0,512.0,22,0.1,28.675665855407715,0.5355648,0.010000573471188545,1.4100688099861145,0.5701046288013458,0.09589608665555716,0.466796875,1.455030918121338,0.0002,21,,,
385,579,-202.7628936767578,223744,0.0,512.0,23,0.1,28.675477027893066,0.47765285,0.010000788606703281,1.499427318572998,0.5067547261714935,0.09840756468474865,0.4638671875,1.5855897665023804,0.0002,22,,,
399,584,-197.55491638183594,233472,0.0,512.0,24,0.1,28.675268173217773,0.30374098,0.010001039132475853,1.1617765426635742,0.26984089612960815,0.16725101275369525,0.453125,1.5205967426300049,0.0002,23,,,
412,590,-196.115234375,243200,0.0,512.0,25,0.1,28.675070762634277,0.515834,0.0100012281909585,1.2845184803009033,0.3973790407180786,0.17049926333129406,0.4609375,1.6033029556274414,0.0002,24,,,
,,,250000,,,,0.1,28.674826622009277,0.34057713,0.010001582093536854,0.998342365026474,0.44230836629867554,0.1389288492500782,0.4580078125,1.3283653259277344,0.0002,25,512.0,0.0,-197.55422973632812
441,572,-194.14430236816406,252928,0.0,512.0,26,,,,,,,,,,,,,,
455,576,-195.31729125976562,262656,0.0,512.0,27,0.1,28.674498558044434,0.3309688,0.010001955553889275,1.0227605402469635,0.47280174493789673,0.14791113138198853,0.462890625,1.3057302236557007,0.0002,26,,,
468,581,-195.56185913085938,272384,0.0,512.0,28,0.1,28.67417812347412,0.49945718,0.010002292692661285,1.2777498960494995,0.3740772604942322,0.11176332365721464,0.474609375,1.4393563270568848,0.0002,27,,,
481,585,-195.65135192871094,282112,0.0,512.0,29,0.1,28.67386817932129,0.5489781,0.01000264659523964,1.47955322265625,0.27870112657546997,0.1527537079527974,0.4755859375,1.6825623512268066,0.0002,28,,,
495,588,-199.33531188964844,291840,0.0,512.0,30,0.1,28.673527717590332,0.47992635,0.010003049857914448,1.8333998918533325,0.33609360456466675,0.20739112235605717,0.4658203125,2.125378131866455,0.0002,29,,,
,,,300000,,,,0.1,28.67318820953369,0.48802817,0.010003400966525078,1.8939964771270752,0.3559672236442566,0.1172595270909369,0.4677734375,1.8638367652893066,0.0002,30,512.0,0.0,-185.26284790039062
525,573,-200.27230834960938,301568,0.0,512.0,31,,,,,,,,,,,,,,
539,576,-198.4569854736328,311296,0.0,512.0,32,0.1,28.672898292541504,0.7265973,0.010003696195781231,2.4065734148025513,-0.09595084190368652,0.33562308829277754,0.46875,2.692873477935791,0.0002,31,,,
552,580,-201.6927490234375,321024,0.0,512.0,33,0.1,28.67261028289795,0.41783357,0.010004040785133839,1.9624088406562805,0.36071938276290894,0.10655092354863882,0.462890625,1.8644001483917236,0.0002,32,,,
566,584,-204.51806640625,330752,0.0,512.0,34,0.1,28.672353744506836,0.439627,0.01000426709651947,1.8719223141670227,0.34379029273986816,0.17366180149838328,0.46875,2.070302724838257,0.0002,33,,,
580,586,-204.5903778076172,340480,0.0,512.0,35,0.1,28.67213726043701,0.49833387,0.010004524141550064,2.0010178089141846,-0.08900320529937744,0.15455615520477295,0.4755859375,1.9520130157470703,0.0002,34,,,
,,,350000,,,,0.1,28.671931266784668,0.23189029,0.010004725307226181,1.7221671342849731,-0.11147105693817139,0.11387688107788563,0.455078125,1.7282317876815796,0.0002,35,512.0,0.0,-214.7672576904297
610,573,-206.10011291503906,350208,0.0,512.0,36,,,,,,,,,,,,,,
623,577,-208.60374450683594,359936,0.0,512.0,37,0.1,28.671748161315918,0.2507416,0.010004930198192596,1.869201421737671,0.01214289665222168,0.15864508249796927,0.4501953125,1.9008769989013672,0.0002,36,,,
637,579,-210.4159698486328,369664,0.0,512.0,38,0.1,28.671561241149902,0.31268722,0.010005141608417034,1.8721659779548645,0.13381987810134888,0.14470395352691412,0.4599609375,1.9016568660736084,0.0002,37,,,
650,583,-208.21267700195312,379392,0.0,512.0,39,0.1,28.67136573791504,0.2704941,0.010005365125834942,1.6322835087776184,0.2638325095176697,0.14569634338840842,0.4580078125,1.788793683052063,0.0002,38,,,
663,586,-206.87075805664062,389120,0.0,512.0,40,0.1,28.671184539794922,0.23216495,0.010005543939769268,1.9559087753295898,-0.2595996856689453,0.13381430320441723,0.453125,1.9656951427459717,0.0002,39,,,
677,588,-207.1439666748047,398848,0.0,512.0,41,0.1,28.67102813720703,0.3485067,0.010005710646510124,1.9221999645233154,0.04043841361999512,0.13881746120750904,0.46484375,1.9730902910232544,0.0002,40,,,
,,,400000,,,,0.1,28.670921325683594,0.27776545,0.01000578235834837,2.199067711830139,-0.16820836067199707,0.13520278641954064,0.4638671875,2.1785030364990234,0.0002,41,512.0,0.0,-206.67672729492188
707,577,-207.1073760986328,408576,0.0,512.0,42,,,,,,,,,,,,,,
721,580,-205.6737518310547,418304,0.0,512.0,43,0.1,28.670879364013672,0.3929656,0.01000580657273531,2.2545610666275024,0.3709406852722168,0.1553407502360642,0.466796875,2.3428115844726562,0.0002,42,,,
734,582,-204.08616638183594,428032,0.0,512.0,44,0.1,28.670902252197266,0.3122408,0.01000573206692934,2.281090021133423,-0.15324842929840088,0.1568430089391768,0.470703125,2.3238260746002197,0.0002,43,,,
747,585,-205.0394287109375,437760,0.0,512.0,45,0.1,28.670991897583008,0.38362342,0.010005606338381767,2.3438735008239746,0.18874526023864746,0.1723428899422288,0.470703125,2.2855358123779297,0.0002,44,,,
761,587,-206.79403686523438,447488,0.0,512.0,46,0.1,28.671067237854004,0.44215488,0.01000556442886591,1.942917287349701,0.42001503705978394,0.1736112106591463,0.4697265625,2.0575125217437744,0.0002,45,,,
,,,450000,,,,0.1,28.671175003051758,0.31210127,0.010005367919802666,2.180788993835449,0.5029023587703705,0.15971687890123576,0.4638671875,2.2162537574768066,0.0002,46,512.0,0.0,-221.8802032470703
791,577,-208.0587158203125,457216,0.0,512.0,47,,,,,,,,,,,,,,
805,579,-206.1268768310547,466944,0.0,512.0,48,0.1,28.671324729919434,0.38418078,0.010005231015384197,2.205692410469055,0.4510108232498169,0.15762157831341028,0.453125,2.2377195358276367,0.0002,47,,,
819,581,-210.11790466308594,476672,0.0,512.0,49,0.1,28.671445846557617,0.4287178,0.010005099698901176,2.2715178728103638,0.6183082461357117,0.15352213010191917,0.47265625,2.3146533966064453,0.0002,48,,,
832,583,-210.8363800048828,486400,0.0,512.0,50,0.1,28.67156410217285,0.28293824,0.010004967451095581,2.7549331188201904,0.394264280796051,0.13438940607011318,0.4658203125,2.638319253921509,0.0002,49,,,
846,585,-208.65428161621094,496128,0.0,512.0,51,0.1,28.6716251373291,0.35484233,0.010004962794482708,2.1943172216415405,0.3523433208465576,0.15056821703910828,0.4677734375,2.2550830841064453,0.0002,50,,,
,,,500000,,,,0.1,28.671640396118164,0.38255882,0.010004933923482895,2.0711065530776978,0.39536285400390625,0.1625737063586712,0.46484375,2.1372122764587402,0.0002,51,512.0,0.0,-211.3764190673828
873,579,-204.7915802001953,505856,0.0,512.0,52,,,,,,,,,,,,,,
885,582,-205.03981018066406,515584,0.0,512.0,53,0.1,28.671719551086426,0.30563286,0.01000478956848383,2.1212644577026367,0.07086950540542603,0.16140821296721697,0.46484375,2.1285252571105957,0.0002,52,,,
897,585,-201.53152465820312,525312,0.0,512.0,54,0.1,28.671814918518066,0.3323403,0.010004720650613308,2.256612181663513,0.25099265575408936,0.21537413820624352,0.466796875,2.3256125450134277,0.0002,53,,,
909,588,-197.8621826171875,535040,0.0,512.0,55,0.1,28.67192268371582,0.30918586,0.010004548355937004,2.124248504638672,-0.08134317398071289,0.18465275689959526,0.4658203125,2.206350088119507,0.0002,54,,,
921,591,-195.13304138183594,544768,0.0,512.0,56,0.1,28.672061920166016,0.36895883,0.010004411451518536,1.8324323296546936,-0.38945531845092773,0.15320934960618615,0.4580078125,1.9468048810958862,0.0002,55,,,
,,,550000,,,,0.1,28.672164916992188,0.29891706,0.010004322044551373,2.000522196292877,-0.1540384292602539,0.15111757582053542,0.455078125,2.0702404975891113,0.0002,56,512.0,0.0,-196.8315887451172
947,584,-197.07937622070312,554496,0.0,512.0,57,,,,,,,,,,,,,,
959,587,-195.85968017578125,564224,0.0,512.0,58,0.1,28.672138214111328,0.2839903,0.01000447291880846,2.5010634660720825,-0.26871562004089355,0.1527403094805777,0.4541015625,2.3617985248565674,0.0002,57,,,
972,590,-193.46572875976562,573952,0.0,512.0,59,0.1,28.671955108642578,0.3139677,0.01000472903251648,1.7816462516784668,-0.23366451263427734,0.13101683091372252,0.4677734375,1.9185847043991089,0.0002,58,,,
984,593,-191.7561492919922,583680,0.0,512.0,60,0.1,28.67177391052246,0.35761818,0.010004875250160694,1.8686047792434692,-0.08472931385040283,0.1386006074026227,0.4677734375,1.8784829378128052,0.0002,59,,,
995,595,-190.07762145996094,593408,0.0,512.0,61,0.1,28.671687126159668,0.3428589,0.01000492088496685,1.5716787576675415,0.1649990677833557,0.14756979420781136,0.4638671875,1.704054594039917,0.0002,60,,,
,,,600000,,,,0.1,28.671563148498535,0.3521123,0.010005154646933079,1.2352282404899597,0.3260146975517273,0.14573154458776116,0.470703125,1.4433079957962036,0.0002,61,512.0,0.0,-188.59390258789062
1023,589,-186.9889678955078,603136,0.0,512.0,62,,,,,,,,,,,,,,
1035,591,-184.06338500976562,612864,0.0,512.0,63,0.1,28.671385765075684,0.23415938,0.010005314834415913,1.5261682868003845,0.07320648431777954,0.14142942521721125,0.4580078125,1.655250072479248,0.0002,62,,,
1048,594,-183.75189208984375,622592,0.0,512.0,64,0.1,28.671298027038574,0.23250344,0.010005347430706024,1.601154088973999,0.05738234519958496,0.1429352816194296,0.4619140625,1.737684726715088,0.0002,63,,,
1059,596,-183.37246704101562,632320,0.0,512.0,65,0.1,28.67131805419922,0.28057742,0.01000527385622263,1.4827092289924622,0.1804751753807068,0.1649981332011521,0.4677734375,1.7504063844680786,0.0002,64,,,
1071,599,-184.09213256835938,642048,0.0,512.0,66,0.1,28.671388626098633,0.2706225,0.010005193762481213,1.3215349316596985,0.17971915006637573,0.14391398336738348,0.4560546875,1.5343470573425293,0.0002,65,,,
,,,650000,,,,0.1,28.67148780822754,0.260739,0.01000505406409502,1.480920135974884,0.26949602365493774,0.13990948908030987,0.44921875,1.685584545135498,0.0002,66,512.0,0.0,-186.41439819335938
1098,593,-184.2200164794922,651776,0.0,512.0,67,,,,,,,,,,,,,,
1111,595,-185.02212524414062,661504,0.0,512.0,68,0.1,28.67163372039795,0.47876567,0.010004868730902672,1.2188971042633057,0.22969073057174683,0.1408808697015047,0.4755859375,1.4559351205825806,0.0002,67,,,
1122,597,-184.5924072265625,671232,0.0,512.0,69,0.1,28.671780586242676,0.36214826,0.01000472903251648,1.629646122455597,-0.19286656379699707,0.16911811381578445,0.46875,1.84823739528656,0.0002,68,,,
1135,599,-183.0616455078125,680960,0.0,512.0,70,0.1,28.67190933227539,0.27606547,0.010004585608839989,0.9880959391593933,-0.053110718727111816,0.13820109120570123,0.46484375,1.2938705682754517,0.0002,69,,,
1147,602,-182.7154083251953,690688,0.0,512.0,71,0.1,28.671977996826172,0.32294852,0.010004577226936817,1.1568788886070251,-0.1200566291809082,0.202270092908293,0.470703125,1.5599982738494873,0.0002,70,,,
,,,700000,,,,0.1,28.67195987701416,0.32707185,0.010004624724388123,0.9950081408023834,0.15681415796279907,0.1296138009056449,0.46875,1.299907922744751,0.0002,71,512.0,0.0,-179.14788818359375
1174,596,-182.5589599609375,700416,0.0,512.0,72,,,,,,,,,,,,,,
1186,598,-181.74725341796875,710144,0.0,512.0,73,0.1,28.671868324279785,0.2949031,0.010004780255258083,0.987217128276825,0.3034510612487793,0.12121011223644018,0.46484375,1.2741801738739014,0.0002,72,,,
1197,600,-181.52166748046875,719872,0.0,512.0,74,0.1,28.671714782714844,0.24272215,0.010004967451095581,1.367213249206543,-0.3300166130065918,0.1430346444249153,0.44921875,1.5431435108184814,0.0002,73,,,
1210,602,-180.44154357910156,729600,0.0,512.0,75,0.1,28.6715669631958,0.26498663,0.010005111806094646,0.9814156591892242,-0.244301438331604,0.15078982058912516,0.466796875,1.3209463357925415,0.0002,74,,,
1222,604,-181.76870727539062,739328,0.0,512.0,76,0.1,28.67144203186035,0.1576292,0.010005246847867966,0.9505275189876556,0.18236839771270752,0.12688010558485985,0.4423828125,1.193608283996582,0.0002,75,,,
1234,607,-181.9741668701172,749056,0.0,512.0,77,0.1,28.671344757080078,0.21929334,0.010005328804254532,1.059846818447113,-0.18314874172210693,0.10054166801273823,0.4404296875,1.2047048807144165,0.0002,76,,,
,,,750000,,,,0.1,28.67127227783203,0.18232894,0.010005409829318523,1.042977750301361,0.10106092691421509,0.11950962990522385,0.455078125,1.307586431503296,0.0002,77,512.0,0.0,-177.90216064453125
1261,601,-181.1796875,758784,0.0,512.0,78,,,,,,,,,,,,,,
1273,603,-180.02105712890625,768512,0.0,512.0,79,0.1,28.671217918395996,0.15123668,0.010005448944866657,0.9670211374759674,0.20777487754821777,0.08314388385042548,0.4296875,1.1605405807495117,0.0002,78,,,
1285,605,-180.39053344726562,778240,0.0,512.0,80,0.1,28.671213150024414,0.22532237,0.010005421936511993,0.9286590814590454,0.0546148419380188,0.0854182904586196,0.45703125,1.1084502935409546,0.0002,79,,,
1297,607,-179.45066833496094,787968,0.0,512.0,81,0.1,28.67121124267578,0.29058856,0.010005454532802105,0.9692480564117432,0.24691295623779297,0.1424472089856863,0.458984375,1.2887400388717651,0.0002,80,,,
1309,609,-181.4681854248047,797696,0.0,512.0,82,0.1,28.671113967895508,0.24690114,0.01000563707202673,0.8740973472595215,0.37982988357543945,0.09850173443555832,0.455078125,1.1700291633605957,0.0002,81,,,
