#{"t_start": 1733096099.8957553, "env_id": "None"}
r,l,t
-149.74739,512,168.803281
-149.74739,512,168.803334
-149.74739,512,168.803343
-149.74739,512,168.80335
-149.74739,512,168.803357
-149.74739,512,168.803364
-149.74739,512,168.80337
-149.74739,512,168.803377
-182.67166,512,181.481831
-182.67166,512,181.491304
-182.67166,512,181.491331
-182.67166,512,181.491339
-182.67166,512,181.491346
-182.67166,512,181.491352
-182.67166,512,181.491359
-182.67166,512,181.491366
-219.3008,512,194.068854
-219.3008,512,194.068908
-219.3008,512,194.068918
-219.3008,512,194.068925
-219.3008,512,194.068931
-219.3008,512,194.068938
-219.3008,512,194.068944
-219.3008,512,194.06895
-197.62671,512,360.535498
-197.62671,512,360.535563
-197.62671,512,360.535577
-197.62671,512,360.535592
-197.62671,512,360.535603
-197.62671,512,360.535613
-197.62671,512,360.535623
-197.62671,512,360.535633
-175.57863,512,372.771967
-175.57863,512,372.772019
-175.57863,512,372.772028
-175.57863,512,372.772035
-175.57863,512,372.772042
-175.57863,512,372.772048
-175.57863,512,372.772054
-175.57863,512,372.772061
-149.95247,512,385.189789
-149.95247,512,385.18984
-149.95247,512,385.189849
-149.95247,512,385.189856
-149.95247,512,385.189863
-149.95247,512,385.189869
-149.95247,512,385.189876
-149.95247,512,385.189882
-105.70181,512,552.73228
-105.70181,512,552.732335
-105.70181,512,552.732345
-105.70181,512,552.732352
-105.70181,512,552.732359
-105.70181,512,552.732366
-105.70181,512,552.732372
-105.70181,512,552.732378
-122.92213,512,565.311502
-122.92213,512,565.311553
-122.92213,512,565.311563
-122.92213,512,565.311571
-122.92213,512,565.311578
-122.92213,512,565.311585
-122.92213,512,565.311592
-122.92213,512,565.311598
-110.16327,512,577.899708
-110.16327,512,577.899757
-110.16327,512,577.899766
-110.16327,512,577.899773
-110.16327,512,577.899779
-110.16327,512,577.899786
-110.16327,512,577.899792
-110.16327,512,577.899798
-97.846275,512,746.050092
-97.846275,512,746.05016
-97.846275,512,746.050173
-97.846275,512,746.050181
-97.846275,512,746.050231
-97.846275,512,746.050239
-97.846275,512,746.050245
-97.846275,512,746.050252
-102.73116,512,758.911967
-102.73116,512,758.91202
-102.73116,512,758.91203
-102.73116,512,758.912037
-102.73116,512,758.912044
-102.73116,512,758.912051
-102.73116,512,758.912058
-102.73116,512,758.912065
-102.63999,512,771.868508
-102.63999,512,771.86856
-102.63999,512,771.86857
-102.63999,512,771.868577
-102.63999,512,771.868584
-102.63999,512,771.868591
-102.63999,512,771.868597
-102.63999,512,771.868604
-135.16296,512,941.213841
-135.16296,512,941.230164
-135.16296,512,941.23021
-135.16296,512,941.23022
